name,lat,lon,address
Sens Unique,48.856095,2.358783,"13 Rue du Roi de Sicile, 75004 Paris -"
Basic Crème de la Crème,49.2555133,4.0314917,"21 Rue des Élus, 51100 Reims -"
Printemps,48.873909,2.328658,"64 Boulevard Haussmann, 75009 Paris,France"
Cour des Hommes,49.117584,6.174013,"11 Rue des Clercs, 57000 Metz, France"
slm Lab,48.885626,2.339826,"24 Rue Berthe,75018 Paris"
Diamant Brut,43.117454,5.79897,24 Avenue Gallieni 83110 Sanary-sur-Mer
Initio,43.1225904,5.93158029,23 bis Rue Pierre Semard 83000 Toulon
Printemps,49.117476,6.1758345,"10 Rue Serpenoise, 57000 Metz"
La Pièce d’Arlette,43.1240868,5.9334913,"rue Berthelot, 83000 Toulon"
La Pièce d’Arlette,43.12024,6.1267328,"16 avenue des îles dor, 83 400 Hyères"
Maison Mood,43.9497271,4.804297,"17 Rue de la Petite Fusterie, 84000 Avignon"
L’Instant,43.2917,5.37535,"86 Rue Grignan, 13001 Marseille -"
Boulet,48.0082,0.196636,"51, grande Rue, 54000 Nancy"
Galeries Lafayette,48.8760477,2.3156587,"52 avenue des Champs-Elysées, 75008 PARIS (coming soon)"
Skins: Amsterdam Centre,52.368793,4.883678,"Runstraat 11, 1016 GJ Amsterdam"
Skins: Amsterdam South,52.358631,4.878624,"Van Baerlestraat 27, 1071 AN Amsterdam"
Skins: Breda,51.573349,4.783166,"Breda Ginnekenweg 31, 4818 JA Breda"
Skins: Den Haag,52.205641,5.959745,"Wagenstraat 32, 2512 AX Den Haag"
Skins: Eindhoven,51.437609,5.477353,"Hooghuisstraat 33, 5611 GS Eindhoven"
Skins: Groningen,53.218943,6.564621,"Oude Boteringestraat 12, 9712 GH Groningen"
Skins: Laren,52.258074,5.223326,"Laren Naarderstraat 15A, 1251 AX Laren"
Skins: Oisterwijk,51.580861,5.195261,"De Lind 13, 5061 HS Oisterwijk"
Skins: Oosterbeek,51.987509,5.840029,"Utrechtseweg 190, 6862 AW Oosterbeek"
Skins: Rotterdam,51.92235,4.474311,"Kruiskade 75-77, 3012 EE Rotterdam"
Skins: Gent,51.05428,3.721162,"Korenmarkt 16- ‘Oude Postkantoor’, 9000 Gent"
Aromateka,55.749283,37.607453,"Znamenka Ulitsa, 7/3, Пушкино, Moskovskaya oblast, Russia, 119019"
Eiffel,55.749283,37.607453,"Ulitsa Kuybysheva, 26, Vladikavkaz, Северная Осетия-Алания республика"
Lukse,55.026864,82.925049,"Serebrennikovskaya Ulitsa, 31, Novosibirsk"
Giorgio,59.93428,30.335099,"18-1 A Uchitel skaya st.,St. Petersburg"
Perfume Bay: Al Ain,24.159075,55.808119,Abu Dhabi - United Arab Emirates
Perfume Bay: Abu Dhabi,24.477385,54.320757,Marina Mall Luxury Section - Abu Dhabi
Omar,23.580222,58.564049,Muscat Oman
L’Odore,24.780971,46.731373,"Eastern Ring Rd, Ash Shuhada, Riyadh 12486, Saudi Arabia"
Maison10,40.745094,-73.987143,"260 5th Ave 2nd floor, New York, NY 10001"
Space 240,40.741717,-73.978676,"240 East 29th st, New York"
Le Secret du Marais (opening soon),40.425267,-3.69778,"Calle Hortaleza, 75 28004 Madrid"
Zurich,47.368124,8.540685,"Spitzenhaus : Börsenstrasse 14, 8001 Zürich"
Harvey Nichols,51.501584,-0.159805,"109-125 Knightsbridge, Belgravia, London SW1X 7RJ, UK (coming soon)"
Schnitzler,51.225433,6.780477,"11 Schadow-Arkaden, 40212 Duesseldorf"
Parfum Lounge,48.8616,9.18569,"Max-Planck-Str. 20, 70806 Kornwestheim"
Parfuemerie,53.553721,9.990426,"Jungfernstieg 26 – 28 , 20354 Hambourg"
Parfums Uniques,48.132303,11.576714,"Klenzestrasse 22 (at Gärtnerplatz) , 80469 Munich"